Model,subset_type,Metrics,Original,Background noise (snr),,,Short noise (snr),,,Gaussian(amp),,
,,,,10,30,50,10,30,50,0.001,0.009,0.017
parakeet,Noisy,wer,0.2123705884,0.2169523187,0.2104176343,0.2078191234,0.2137019941,0.209977736,0.2096997122,0.2088850922,0.2320123274,0.262953358
,,cer,0.07158994045,0.07612380818,0.07171701726,0.06835658703,0.0731747881,0.07066753568,0.06978514399,0.06891245268,0.08196956804,0.1040863806
,,semWER,0.09589863688,0.1086366105,0.09578336137,0.0932000869,0.1004722358,0.09437751004,0.09446254072,0.09493292782,0.1196961476,0.1558096683
,speech_brain_denoiser,wer,0.2260553984,0.2721187186,0.2177011031,0.2234331347,0.2470536126,0.2271930391,0.2227406258,0.2307829752,0.2975097732,0.3693634075
,,cer,0.08369227339,0.1178346145,0.07772509353,0.08078984432,0.09819180376,0.08751236042,0.08070913394,0.08622133635,0.1361558021,0.1901231064
,,semWER,0.1090549766,0.1678741349,0.1073170732,0.1076614651,0.1328754529,0.1142903505,0.1080656519,0.120616654,0.1979913138,0.2748281977
,,,,,,,,,,,,
whisper,Noisy,wer,0.1792872876,0.1993259769,0.1793054704,0.1798973138,0.1943580837,0.1901793321,0.1792447246,0.1813988517,0.2154807059,0.249234646
,,cer,0.05512197714,0.07063532411,0.05534346238,0.05511918227,0.06871436516,0.06532212324,0.05529869849,0.05556921743,0.08151884767,0.1132322772
,,semWER,0.06461454645,0.08822087894,0.0653915318,0.06535128359,0.08001744249,0.07743025283,0.06499591392,0.06654323677,0.1095696643,0.1618534834
,speech_brain_denoiser,wer,0.2063044951,0.365147307,0.2231619681,0.207959833,0.2857417191,0.2141903255,0.2067571886,0.2958687463,0.3407243992,0.5882115272
,,cer,0.07594702674,0.1957671157,0.08595509859,0.07703897636,0.1430666262,0.08266183643,0.0765482008,0.1405453992,0.1957515905,0.3887510163
,,semWER,0.09649839351,0.2583084036,0.1124482684,0.09815884083,0.1767652022,0.1055298284,0.09711328976,0.1829713104,0.2443200348,0.5111388829
,,,,,,,,,,,,
,,,,,,,,,,,,
gemini,Noisy,wer,0.191549806,0.200376113,0.188328675,0.191246017,0.192489218,0.190966496,0.185995591,0.190010031,0.205531722,0.232279645
,,cer,0.059679976,0.063283051,0.057622188,0.059903979,0.059797124,0.060328694,0.054819073,0.059815477,0.067047435,0.088111243
,,semWER,0.063373104,0.073437754,0.060811544,0.064439141,0.064160972,0.063740914,0.057875895,0.062330476,0.077014796,0.111983538
,speech_brain_denoiser,wer,0.20747475,0.24161239,0.202589579,0.200742615,0.218875565,0.206632974,0.201704812,0.219484134,0.564473212,0.704733799
,,cer,0.068790418,0.096162976,0.067808689,0.065958637,0.079461275,0.071388715,0.067666102,0.080609657,0.301365023,0.5492772849
,,semWER,0.080100725,0.123186052,0.08007156,0.075516736,0.095235514,0.08260115,0.077607246,0.09589338,0.436086157,0.5777258398
,,,,,,,,,,,,
,,,,,,,,,,,,
parrotlet,Noisy,wer,0.07014755959,0.09074914869,0.07037457435,0.07173666288,0.07213393871,0.07071509648,0.0700908059,0.07094211124,0.08881952327,0.1178206583
,,cer,0.02560973453,0.05045011585,0.02564510709,0.02620222493,0.02688314674,0.02572469535,0.02596346014,0.02589271502,0.03597389505,0.05679064749
,,semWER,0.03309913273,0.04220173417,0.03392249424,0.03391877058,0.03485946421,0.03375967503,0.0339811155,0.0338108568,0.04800043886,0.07684718264
,speech_brain_denoiser,wer,0.09370034052,0.1325198638,0.09438138479,0.1350737798,0.1792281498,0.09568671964,0.09211123723,0.134846765,0.3074914869,0.6795119183
,,cer,0.03921932757,0.06913567146,0.04060770061,0.07262871191,0.0729559081,0.0409348968,0.03852956262,0.07079818185,0.1940980881,0.5586919227
,,semWER,0.05372626495,0.09235319895,0.05519890261,0.05933691953,0.06884634374,0.05560129535,0.05242068284,0.06811077598,0.1248768203,0.224636095